# Time(s)  TotalGoodput(Gbps)  ActiveFlows  JainFairness
5 18.7829 20 0.999962
10 13.0137 20 0.999457
15 5.792e-05 1 1
20 5.792e-05 1 1
25 5.792e-05 1 1
30 5.792e-05 1 1
35 5.792e-05 1 1
40 5.792e-05 1 1
45 5.792e-05 1 1
50 5.792e-05 1 1
55 5.56032e-05 1 1
60 5.792e-05 1 1
65 5.792e-05 1 1
70 5.792e-05 1 1
75 5.792e-05 1 1
80 5.792e-05 1 1
85 5.792e-05 1 1
90 5.792e-05 1 1
95 5.792e-05 1 1
100 5.792e-05 1 1
105 5.792e-05 1 1
110 5.792e-05 1 1
115 5.792e-05 1 1
120 5.792e-05 1 1
125 5.792e-05 1 1
130 5.792e-05 1 1
135 5.792e-05 1 1
140 5.56032e-05 1 1
145 5.792e-05 1 1
150 5.792e-05 1 1
155 5.792e-05 1 1
160 5.792e-05 1 1
165 5.792e-05 1 1
170 5.792e-05 1 1
175 5.792e-05 1 1
180 5.792e-05 1 1
185 5.792e-05 1 1
190 5.792e-05 1 1
195 5.792e-05 1 1
